Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/4/2021,10/4/2021 21:43,배달,CHECK,05P080,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"24,900","21,900","24,900",0,0,"3,285",657,"6,000","1,000","5,000","2,727","3,000","6,012","3,930",393,"4,323",0,0,0,"17,577"
10/5/2021,10/5/2021 10:14,배달,CREDIT,1TU3G0,,다이어트랩,PAY,"벌크업 소고기 스테이크 KIT, 모듬 야채 100g, 수제 디톡스 파인애플 티 (ICE)","21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194","2,160",216,"2,376","11,430"
10/5/2021,10/5/2021 10:42,배달,CREDIT,1D9PG0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"42,500","39,500","42,500",0,0,"5,925","1,185","6,000","1,000","5,000","2,727","3,000","8,652","4,458",446,"4,904",0,0,0,"34,596"
10/5/2021,10/5/2021 11:11,배달,CREDIT,01E5G0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 고구마 (180g)","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
10/5/2021,10/5/2021 11:33,배달,CREDIT,2UYB00,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"27,400","24,400","27,400",0,0,"3,660",732,"6,000","1,000","5,000","2,727","3,000","6,387","4,005",400,"4,405",0,0,0,"19,995"
10/5/2021,10/5/2021 11:50,배달,CREDIT,1T3TR0,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, 연어 스테이크 KIT, OP VANI'BANA (ICE) 바닐라바나나 프로틴","34,000","28,000","34,000",0,0,"4,200",840,"6,000","1,000","5,000","2,727","3,000","6,927","4,113",411,"4,524","2,803",280,"3,083","20,393"
10/5/2021,10/5/2021 12:02,배달,CREDIT,0KHYG0,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 대추 토마토, 모듬 야채 100g, 브로콜리 50g","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
10/5/2021,10/5/2021 12:20,배달,BANK,0BGYG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"28,900","25,900","28,900",0,0,"3,885",777,"6,000","1,000","5,000","2,727","3,000","6,612","4,050",405,"4,455",0,0,0,"21,445"
10/5/2021,10/5/2021 12:22,배달,CREDIT,0YV6R0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, REAL VEGETARIAN KIT (채식)","29,000","23,000","29,000",0,0,"3,450",690,"6,000","1,000","5,000","2,727","3,000","6,177","3,963",396,"4,359","2,303",230,"2,533","16,108"
10/5/2021,10/5/2021 12:29,배달,CHECK,1RGD80,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"40,000","37,000","40,000",0,0,"5,550","1,110","6,000","1,000","5,000","2,727","3,000","8,277","4,383",438,"4,821",0,0,0,"32,179"
