거래일,거래일시,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,정산금액
,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,
2021-04-19,2021-04-19 11:42,CREDIT,23BE80,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), OP CHOCO (ICE) 초코 프로틴","28,000","25,000","28,000",0,0,"3,750",750,"6,000","1,000","5,000","2,727","3,000","6,477","4,023",402,"4,425","20,575"
2021-04-19,2021-04-19 11:47,BANK,11NA00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 수제 디톡스 파인애플 에이드 (ICE)x2","43,400","40,400","43,400",0,0,"6,060","1,212","6,000","1,000","5,000","2,727","3,000","8,787","4,485",448,"4,933","35,467"
2021-04-19,2021-04-19 19:23,BANK,2A6SR0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"47,500","44,500","47,500",0,0,"6,675","1,335","6,000","1,000","5,000","2,727","3,000","9,402","4,608",461,"5,069","39,431"
2021-04-19,2021-04-19 19:39,CHECK,18PMG0,,다이어트랩,PAY,REAL VEGETARIAN KIT (채식),"23,400","17,400","23,400",0,0,"2,610",522,"6,000","1,000","5,000","2,727","3,000","5,337","3,795",379,"4,174","13,226"
2021-04-19,2021-04-19 19:39,CHECK,18PMG0,,다이어트랩,CANCEL,REAL VEGETARIAN KIT (채식),"-23,400","-17,400","-23,400",0,0,"-2,610",-522,"-6,000","-1,000","-5,000","-2,727","-3,000","-5,337","-3,795",-379,"-4,174","-13,226"
2021-04-19,2021-04-19 19:45,CHECK,0UCC00,,다이어트랩,PAY,REAL VEGETARIAN KIT (채식),"21,500","15,500","20,500","1,000",0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-19,2021-04-19 21:31,CHECK,2FB5R0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 녹차 라떼 (유기농), 모듬 야채 100g","25,000","22,000","25,000",0,0,"3,300",660,"6,000","1,000","5,000","2,727","3,000","6,027","3,933",393,"4,326","17,674"
2021-04-19,2021-04-19 22:23,CREDIT,226H00,,다이어트랩,PAY,"벌크업 소고기 스테이크 KIT, OP CHOCO (ICE) 초코 프로틴","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-19,2021-04-19 22:53,CREDIT,22U1R0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"24,900","21,900","24,900",0,0,"3,285",657,"6,000","1,000","5,000","2,727","3,000","6,012","3,930",393,"4,323","17,577"
2021-04-20,2021-04-20 10:30,BANK,104N00,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"47,500","44,500","47,500",0,0,"6,675","1,335","6,000","1,000","5,000","2,727","3,000","9,402","4,608",461,"5,069","39,431"
2021-04-20,2021-04-20 10:51,CREDIT,16G400,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"43,500","40,500","43,500",0,0,"6,075","1,215","6,000","1,000","5,000","2,727","3,000","8,802","4,488",449,"4,937","35,563"
2021-04-20,2021-04-20 11:08,BANK,2V6T80,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 연어 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-20,2021-04-20 11:08,BANK,2V6T80,,다이어트랩,CANCEL,"GO단백 닭가슴살 스테이크 KIT, 연어 스테이크 KIT","-18,500","-15,500","-18,500",0,0,"-2,325",-465,"-6,000","-1,000","-5,000","-2,727","-3,000","-5,052","-3,738",-374,"-4,112","-11,388"
2021-04-20,2021-04-20 11:09,BANK,1G4MG0,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 연어 스테이크 KIT","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095","10,905"
2021-04-20,2021-04-20 11:36,CHECK,0F4GG0,,다이어트랩,PAY,"OP VANI'BLUE (ICE) 바닐라  블루베리 프로틴, GO단백 닭가슴살 소시지 KIT, 직접 구운계란 (모두가 아는 찜질방 그 맛)","20,400","17,400","20,400",0,0,"2,610",522,"6,000","1,000","5,000","2,727","3,000","5,337","3,795",379,"4,174","13,226"
2021-04-20,2021-04-20 11:44,CREDIT,1AD200,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 플랫화이트","22,500","19,500","22,500",0,0,"2,925",585,"6,000","1,000","5,000","2,727","3,000","5,652","3,858",386,"4,244","15,256"
2021-04-20,2021-04-20 11:45,CREDIT,2N1K00,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,900","23,900","26,900",0,0,"3,585",717,"6,000","1,000","5,000","2,727","3,000","6,312","3,990",399,"4,389","19,511"
2021-04-20,2021-04-20 15:33,CHECK,2RGS80,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식)x2, REAL VEGETARIAN KIT (채식)","45,900","39,900","45,900",0,0,"5,985","1,197","6,000","1,000","5,000","2,727","3,000","8,712","4,470",447,"4,917","34,983"
2021-04-20,2021-04-20 15:33,CHECK,2RGS80,,다이어트랩,CANCEL,"REAL VEGETARIAN KIT (채식)x2, REAL VEGETARIAN KIT (채식)","-45,900","-39,900","-45,900",0,0,"-5,985","-1,197","-6,000","-1,000","-5,000","-2,727","-3,000","-8,712","-4,470",-447,"-4,917","-34,983"
2021-04-20,2021-04-20 15:35,CHECK,2B1400,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식)x2, REAL VEGETARIAN KIT (채식)","45,900","39,900","45,900",0,0,"5,985","1,197","6,000","1,000","5,000","2,727","3,000","8,712","4,470",447,"4,917","34,983"
